[2024-06-29 14:16:03,514][asyncio][DEBUG] - Using selector: EpollSelector
[2024-06-29 14:16:05,669][AutoNode][DEBUG] - Defining data type 'normalh[3]' as 'Normal3h' and array 'Normal3hArray
[2024-06-29 14:16:05,669][AutoNode][DEBUG] - Defining data type 'objectId' as 'ObjectId' and array 'ObjectIdArray
[2024-06-29 14:16:05,670][AutoNode][DEBUG] - Defining data type 'path' as 'Path'
[2024-06-29 14:16:05,670][AutoNode][DEBUG] - Defining data type 'pointd[3]' as 'Point3d' and array 'Point3dArray
[2024-06-29 14:16:05,670][AutoNode][DEBUG] - Defining data type 'pointf[3]' as 'Point3f' and array 'Point3fArray
[2024-06-29 14:16:05,670][AutoNode][DEBUG] - Defining data type 'pointh[3]' as 'Point3h' and array 'Point3hArray
[2024-06-29 14:16:05,670][AutoNode][DEBUG] - Defining data type 'quatd[4]' as 'Quatd' and array 'QuatdArray
[2024-06-29 14:16:05,670][AutoNode][DEBUG] - Defining data type 'quatf[4]' as 'Quatf' and array 'QuatfArray
[2024-06-29 14:16:05,670][AutoNode][DEBUG] - Defining data type 'quath[4]' as 'Quath' and array 'QuathArray
[2024-06-29 14:16:05,670][AutoNode][DEBUG] - Defining data type 'string' as 'String'
[2024-06-29 14:16:05,670][AutoNode][DEBUG] - Defining data type 'target' as 'Target'
[2024-06-29 14:16:05,670][AutoNode][DEBUG] - Defining data type 'texcoordd[2]' as 'TexCoord2d' and array 'TexCoord2dArray
[2024-06-29 14:16:05,670][AutoNode][DEBUG] - Defining data type 'texcoordf[2]' as 'TexCoord2f' and array 'TexCoord2fArray
[2024-06-29 14:16:05,670][AutoNode][DEBUG] - Defining data type 'texcoordh[2]' as 'TexCoord2h' and array 'TexCoord2hArray
[2024-06-29 14:16:05,670][AutoNode][DEBUG] - Defining data type 'texcoordd[3]' as 'TexCoord3d' and array 'TexCoord3dArray
[2024-06-29 14:16:05,670][AutoNode][DEBUG] - Defining data type 'texcoordf[3]' as 'TexCoord3f' and array 'TexCoord3fArray
[2024-06-29 14:16:05,670][AutoNode][DEBUG] - Defining data type 'texcoordh[3]' as 'TexCoord3h' and array 'TexCoord3hArray
[2024-06-29 14:16:05,670][AutoNode][DEBUG] - Defining data type 'timecode' as 'Timecode' and array 'TimecodeArray
[2024-06-29 14:16:05,670][AutoNode][DEBUG] - Defining data type 'token' as 'Token' and array 'TokenArray
[2024-06-29 14:16:05,670][AutoNode][DEBUG] - Defining data type 'uchar' as 'UChar' and array 'UCharArray
[2024-06-29 14:16:05,670][AutoNode][DEBUG] - Defining data type 'uint' as 'UInt' and array 'UIntArray
[2024-06-29 14:16:05,671][AutoNode][DEBUG] - Defining data type 'uint64' as 'UInt64' and array 'UInt64Array
[2024-06-29 14:16:05,671][AutoNode][DEBUG] - Defining data type 'vectord[3]' as 'Vector3d' and array 'Vector3dArray
[2024-06-29 14:16:05,671][AutoNode][DEBUG] - Defining data type 'vectorf[3]' as 'Vector3f' and array 'Vector3fArray
[2024-06-29 14:16:05,671][AutoNode][DEBUG] - Defining data type 'vectorh[3]' as 'Vector3h' and array 'Vector3hArray
[2024-06-29 14:16:07,371][omni.kit.profiler.window][WARNING] - remove _SpanInstance.__lt__ and use insort 'key' arg instead
